State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt ,BHP_New_Enrl,BHP_Renrl ,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
AK,HC.gov,"15,864","24,171","20,804","16,262","3,534","17,696","4,249","13,447","10,261","3,186","3,673","6,588",521,"1,513","1,606","1,525","1,117","2,141","4,425","4,848",$739 ,$187 ,"14,686","3,938",222,"1,536","1,330",850,"14,545",$671 ,$89 ,"2,651","1,148","3,252","3,029","2,914","4,492",210,"8,346","9,350",786,"1,409",57,167,"11,410",250,673,"2,944",773,"14,634","2,289","8,870","8,826",+,"8,761","3,438","5,497",+,"1,889","1,853","3,828","3,534","2,678","3,130",784,"2,805",168,145,691,594,512,664,31,+,+,+,+,+,+,+,+,+,+,+
AL,HC.gov,"145,941","205,422","191,122","155,576","14,406","160,429","37,118","123,311","86,528","36,783","14,630","71,898","4,927","14,775","13,413","11,979","8,505","19,467","35,657","51,706",$691 ,$130 ,"144,358","110,618","14,198","31,725","64,154",541,"144,062",$625 ,$79 ,"4,221","17,773","29,179","29,790","33,662","44,989",815,"66,222","94,207",784,"9,340",56,"27,875","95,546","1,679","2,786","22,363","4,311","139,408","16,710","45,454","114,975","1,783","20,454","131,194","6,998",+,"3,545","69,505","36,777","20,821","11,159","12,598","6,024","49,160",316,"5,571","10,687","10,062","10,259","11,961",304,+,+,+,+,+,+,+,+,+,+,+
AR,HC.gov,"65,725","98,275","78,283","62,685","21,182","64,360","14,484","49,876","29,141","20,735","12,662","16,479","1,293","4,559","4,239","4,248","2,874","6,884","14,124","26,139",$522 ,$197 ,"54,952","36,131","8,441","16,164","10,910",616,"54,638",$383 ,$147 ,"5,890","5,433","9,314","9,998","12,094","21,098",533,"28,131","36,229",458,"2,799",178,"4,032","43,045",643,"1,077","12,128","2,635","53,465","8,260","24,769","39,591",+,"15,886","46,554","1,920",+,"4,262","12,123","19,358","12,751","7,135","6,804","1,927","8,927","1,234",702,"1,614","1,569","1,481","2,190",137,+,+,+,+,+,+,+,+,+,+,+
AZ,HC.gov,"128,764","206,731","185,613","137,217","23,720","153,020","34,391","118,629","77,049","41,580","29,974","47,075","3,010","10,688","10,357","10,955","7,375","17,954","35,782","56,899",$589 ,$220 ,"120,152","66,554","18,806","28,183","18,695",870,"119,655",$472 ,$130 ,"23,532","12,075","18,599","20,205","27,015","50,063","1,531","69,687","83,333",728,"11,654",144,"2,929","91,534","4,313","4,051","37,667","26,166","106,856","19,998","15,798","137,222",809,"57,301","90,246","4,664",+,"21,856","20,284","35,626","33,058","17,918","19,141","5,137","21,563","2,929","1,558","3,912","3,710","3,608","5,612",234,+,+,+,+,+,+,+,+,+,+,+
CA,SBE,"3,756,058","7,765,421","2,294,351","1,735,727",NR,"1,538,819","418,052","1,120,767","466,154","654,613",NR,NR,"180,675","280,606","652,593","97,094","38,490","20,136","94,838","174,387",$569 ,$185 ,"1,309,381","648,202",NR,NR,NR,NR,"1,308,064",$445 ,$134 ,"110,268","150,542","264,143","234,424","319,562","447,742","12,138","734,220","804,599","3,558","297,443","1,564","29,993","427,135",NR,"29,136","406,395","343,595",NR,"406,395",NR,NR,"21,268","462,501","854,505","147,422","53,123",NR,"235,007","422,251","264,141","206,898","220,134","190,388","255,909","10,804","24,308","59,805","45,058","49,435","63,552","2,947",+,+,+,+,+,+,+,+,+,+,+
CO,SBE,"136,063","259,077","238,733","127,417",NR,"166,852","34,383","132,469","78,826","53,643",NR,NR,"4,061","10,318","10,096","10,282","7,130","15,309","30,551","79,105",$478 ,$205 ,"123,222","49,593",NR,NR,NR,NR,"122,438",$368 ,$135 ,"16,878","12,057","29,017","26,824","28,016","46,319","7,741","79,446","87,406",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"2,758","86,945","66,963","10,186",+,NR,"12,618","28,286","22,052","19,038","25,081","59,777","34,623","3,414","1,980","8,511","6,570","5,327","7,099","1,722",+,+,+,+,+,+,+,+,+,+,+
CT,SBE,"248,878","446,097","128,536","88,423","270,123","107,833","25,280","82,553","25,064","57,489",NR,NR,"2,103","7,670","7,403","26,342","46,057","3,153","8,476","6,629",$684 ,$244 ,"74,496","46,677",NR,NR,NR,NR,"74,413",$638 ,$97 ,"8,005","9,682","15,386","14,252","22,023","36,627","1,858","49,524","58,309",70,"5,045",49,"4,367","51,790",NR,"1,498","33,720","11,294",NR,"33,720",NR,NR,"1,839","49,326","49,889","6,779",+,NR,"8,127","18,439","15,895","10,962","17,240","37,170","3,564",243,323,799,577,679,852,91,+,+,+,+,+,+,+,+,+,+,+
DC,SBE,"26,396","29,595","19,872","2,286","8,671","17,538","4,214","13,324","1,524","11,800",NR,NR,"15,390",85,-72,116,113,211,591,"1,104",$534 ,$505 ,"1,061",356,NR,NR,NR,NR,"1,051",$422 ,$219 ,"1,888","1,001","5,398","3,845","2,711","2,515",180,"8,351","9,187",*,520,*,"1,359","5,471",NR,407,"9,729",45,NR,"9,729",NR,NR,928,"5,097","4,507","3,894","3,112",NR,40,66,301,262,207,"16,662","4,137",293,181,"1,326","1,088",620,468,161,+,+,+,+,+,+,+,+,+,+,+
DE,HC.gov,"20,602","31,372","28,052","21,764","3,700","23,961","6,056","17,905","12,234","5,671","5,259","6,975",560,"1,743","1,790","1,849","1,388","2,866","5,955","7,810",$668 ,$192 ,"19,930","6,831",796,"3,364","2,650",21,"19,914",$572 ,$110 ,"3,065","1,792","3,491","3,578","4,342","7,377",316,"10,744","13,217",*,"2,112",*,"2,268","13,703",377,548,"4,895","1,462","19,737","2,762","5,789","18,172",131,"7,578","7,902","7,662",688,"2,382","2,978","5,254","4,811","3,461","4,161",914,"4,210",255,367,871,725,804,"1,126",62,+,+,+,+,+,+,+,+,+,+,+
FL,HC.gov,"1,524,594","2,225,325","2,154,456","1,924,546","70,559","1,913,975","525,509","1,388,466","1,045,638","342,828","530,173","515,465","45,419","211,588","206,059","195,387","138,405","233,086","394,260","489,771",$597 ,$98 ,"1,791,105","1,237,998","49,583","230,244","956,973","1,198","1,789,918",$533 ,$65 ,"154,496","228,974","268,584","321,663","419,816","484,553","35,889","854,719","1,059,256","1,735","65,243",988,"128,159","620,968","41,716","22,638","1,032,528","421,737","721,713","770,525","56,121","1,857,854","3,011","559,378","1,279,920","61,087","10,579","52,118","1,117,743","332,889","182,944","95,892","95,648","36,741","188,649","14,851","20,348","33,144","34,797","38,569","44,507","2,433",+,+,+,+,+,+,+,+,+,+,+
