ZIP,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
03031,421,220,$405 
03032,213,123,$446 
03033,187,112,$400 
03034,150,84,$411 
03036,204,132,$430 
03037,131,82,$478 
03038,"1,116",823,$372 
03041,*,*,*
03042,211,135,$432 
03043,77,56,$386 
03044,161,114,$409 
03045,436,272,$399 
03046,124,78,$386 
03047,71,60,$395 
03048,105,81,$419 
03049,298,180,$462 
03051,664,464,$387 
03052,190,123,$412 
03053,728,483,$401 
03054,739,461,$371 
03055,463,335,$412 
03057,110,70,$367 
03060,792,648,$421 
03061,*,*,*
03062,819,537,$427 
03063,457,309,$396 
03064,398,279,$389 
03070,207,123,$427 
03071,158,111,$415 
03073,*,*,*
03076,413,286,$406 
03077,311,237,$434 
03079,932,667,$424 
03082,66,50,$489 
03084,83,56,$396 
03086,162,121,$398 
03087,487,276,$412 
03101,97,60,$367 
03102,888,688,$378 
03103,889,716,$388 
03104,920,657,$387 
03105,*,*,*
03106,448,316,$426 
03108,*,*,*
03109,280,215,$402 
03110,697,383,$381 
03215,20,*,*
03216,88,69,$421 
03217,105,88,$393 
03218,36,25,$480 
03220,219,152,$447 
03221,82,66,$444 
03222,224,182,$481 
03223,202,158,$398 
03224,87,55,$429 
03225,114,87,$422 
03226,71,42,$488 
03227,91,64,$360 
03229,215,126,$413 
03230,34,23,$495 
03231,*,*,*
03233,*,*,*
03234,130,94,$391 
03235,188,156,$485 
03237,102,63,$417 
03238,*,*,*
03240,31,20,$529 
03241,50,33,$577 
03242,149,94,$434 
03243,29,*,*
03244,222,185,$454 
03245,126,81,$450 
03246,497,372,$443 
03247,*,*,*
03249,278,162,$446 
03251,121,94,$418 
03253,325,213,$429 
03254,318,212,$471 
03255,82,62,$501 
03256,93,74,$431 
03257,142,89,$422 
03258,72,55,$473 
03259,26,*,*
03260,34,*,*
03261,119,84,$401 
03262,92,71,$425 
03263,108,84,$406 
03264,216,148,$387 
03266,119,104,$382 
03268,47,31,$412 
03269,131,99,$482 
03273,19,*,*
03275,303,204,$430 
03276,231,193,$426 
03278,101,80,$455 
03279,32,*,*
03280,56,38,$488 
03281,293,193,$390 
03282,60,42,$389 
03284,40,28,$448 
03285,177,140,$416 
03287,58,43,$412 
03289,*,*,*
03290,191,124,$425 
03291,*,*,*
03293,*,*,*
03301,859,609,$403 
03302,*,*,*
03303,343,251,$399 
03304,200,114,$380 
03307,159,111,$425 
03431,675,490,$407 
03440,90,66,$431 
03441,*,*,*
03442,49,*,*
03443,21,*,*
03444,99,69,$418 
03445,20,*,*
03446,177,143,$434 
03447,63,50,$427 
03448,31,*,*
03449,95,65,$390 
03450,92,73,$422 
03451,94,72,$419 
03452,189,137,$464 
03455,94,64,$475 
03456,29,*,*
03457,42,28,$601 
03458,293,228,$425 
03461,171,109,$393 
03462,49,29,$416 
03464,27,*,*
03465,66,55,$440 
03466,55,30,$399 
03467,71,51,$455 
03468,*,*,*
03470,144,117,$448 
03561,220,166,$425 
03570,225,184,$524 
03574,120,81,$400 
03575,*,*,*
03576,126,104,$471 
03579,25,*,*
03580,101,62,$452 
03581,128,101,$480 
03582,81,66,$518 
03583,54,33,$387 
03584,138,113,$451 
03585,89,68,$422 
03586,47,21,$375 
03588,82,68,$519 
03590,40,*,*
03592,70,*,*
03593,17,*,*
03595,27,*,*
03597,13,*,*
03598,131,109,$430 
03601,13,*,*
03602,124,94,$381 
03603,107,85,$462 
03604,*,*,*
03605,36,23,$619 
03607,13,*,*
03608,114,81,$468 
03609,*,*,*
03740,34,*,*
03741,132,94,$469 
03743,259,213,$462 
03745,58,38,$433 
03746,*,*,*
03748,117,74,$432 
03749,*,*,*
03750,29,*,*
03751,15,*,*
03752,21,*,*
03753,92,62,$429 
03754,*,*,*
03755,169,53,$451 
03765,17,*,*
03766,276,185,$392 
03768,63,26,$415 
03769,*,*,*
03770,33,19,$449 
03771,22,11,$615 
03773,192,140,$475 
03774,71,45,$475 
03777,54,43,$365 
03779,25,*,*
03780,13,*,*
03781,41,25,$445 
03782,108,68,$414 
03784,103,60,$414 
03785,72,56,$458 
03801,"1,005",615,$387 
03802,*,*,*
03809,169,123,$431 
03810,87,66,$468 
03811,223,145,$428 
03812,110,81,$444 
03813,294,214,$414 
03814,102,83,$428 
03816,100,83,$410 
03817,48,37,$477 
03818,245,176,$436 
03819,161,119,$394 
03820,"1,133",742,$361 
03823,78,31,$334 
03824,210,110,$363 
03825,288,199,$397 
03826,78,54,$383 
03827,148,104,$404 
03830,52,37,$539 
03832,38,27,$400 
03833,746,436,$409 
03835,155,115,$470 
03836,82,67,$450 
03837,47,*,*
03838,87,72,$450 
03839,109,86,$386 
03840,186,110,$437 
03841,207,131,$422 
03842,641,429,$422 
03843,*,*,*
03844,99,55,$363 
03845,90,52,$422 
03846,119,77,$426 
03847,14,*,*
03848,205,151,$393 
03849,136,93,$420 
03850,19,*,*
03851,125,91,$473 
03852,20,*,*
03853,43,29,$477 
03854,61,24,$430 
03855,84,64,$453 
03856,74,28,$459 
03857,331,240,$370 
03858,114,80,$394 
03860,291,227,$444 
03861,181,113,$403 
03862,192,127,$411 
03864,87,73,$495 
03865,255,184,$360 
03866,*,*,*
03867,500,382,$426 
03868,135,113,$457 
03869,91,54,$320 
03870,279,170,$410 
03871,32,15,$371 
03872,166,119,$476 
03873,189,140,$383 
03874,266,197,$449 
03875,62,46,$519 
03878,296,240,$440 
03882,64,*,*
03883,24,*,*
03884,168,117,$415 
03885,308,177,$452 
03886,158,138,$443 
03887,58,44,$420 
03890,23,*,*
03894,355,256,$446 
03896,17,*,*
03897,*,*,*
03901,342,299,$437 
03902,158,112,$438 
03903,393,312,$422 
03904,451,337,$434 
03905,121,92,$514 
03906,242,211,$411 
03907,97,76,$507 
03908,375,306,$425 
03909,652,510,$457 
03910,33,*,*
03911,18,*,*
04001,139,121,$437 
04002,368,315,$477 
04003,34,22,$526 
04004,*,*,*
04005,824,673,$437 
04006,13,*,*
04007,*,*,*
04008,178,138,$449 
04009,268,231,$493 
04010,115,101,$495 
04011,900,713,$441 
04013,*,*,*
04014,*,*,*
04015,198,166,$489 
